University Name,Attributes,Number of Faculty (2019),Number of Graduate Students (2019),Faculty Ranking (2024),Age of Faculty Dissertations (2019),Average h-index/age of Faculty (2024),Average h-index/age of Graduates w TT/T jobs in NA (2024),Subfield representation (2019),Gender Ratio: Men/Women (2019),Average number of LX Majors (2019-2023)
Rice University,8,6,28,-0.25,33.80,0.74,,"""3 syntax, 2 semantics, 0 acquisition, 3 sociolinguistics, 0 applied, 0 morphology, 0 phonetics, 5 general, 0 psycholinguistics, 0 computational, 1 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.0,9
University at Buffalo (SUNY),8,13,54,0,30.25,1.07,1.00,"""8 syntax, 5 semantics, 2 acquisition, 2 sociolinguistics, 6 applied, 3 morphology, 1 phonetics, 9 general, 1 psycholinguistics, 1 computational, 3 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",3.7,
University of Georgia,8,13,32,-0.5,23.58,0.80,,"""2 syntax, 2 semantics, 4 acquisition, 1 sociolinguistics, 0 applied, 1 morphology, 2 phonetics, 0 general, 1 psycholinguistics, 0 computational, 2 pragmatics, 2 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 1 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.8,32
University of Hawaii-Manoa,8,10,65,0.17,22.27,1.01,2.00,"""2 syntax, 0 semantics, 1 acquisition, 1 sociolinguistics, 0 applied, 0 morphology, 2 phonetics, 0 general, 1 psycholinguistics, 0 computational, 0 pragmatics, 2 historical, 5 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.3,
University of Iowa,8,8,11,-0.33,27.63,1.67,,"""4 syntax, 0 semantics, 2 acquisition, 0 sociolinguistics, 0 applied, 1 morphology, 3 phonetics, 0 general, 2 psycholinguistics, 0 computational, 0 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 2 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.7,19.4
University of California-Davis,7,10,21,0.17,24.20,1.19,0.69,,,35.8
University of Pittsburgh,7,7,27,-0.33,19.86,0.78,1.16,,,18.6
University of Rochester,7,8,6,0.4,17.63,1.04,1.60,,,13.6
University of Utah,7,11,17,-0.5,28.45,0.68,0.65,,,18
CUNY Queens College,6,30,,-0.5,,,1.02,"""7 syntax, 5 semantics, 7 acquisition, 10 sociolinguistics, 11 applied, 2 morphology, 3 phonetics, 0 general, 5 psycholinguistics, 4 computational, 1 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.3,18.6
McGill,6,13,23,0.83,22.23,1.02,1.46,,,
Simon Fraser University,6,15,22,0,25.53,0.98,0.68,,,
University of Alberta,6,14,23,-0.25,19.43,1.07,1.70,,,
University of Manitoba,6,10,14,0,25.60,0.71,0.58,,,
University of Wisconsin-Milwaukee,6,8,34,0,20.38,0.59,,,,10.2
Carnegie Mellon University,5,14,,0.5,,,,"""1 syntax, 2 semantics, 2 acquisition, 1 sociolinguistics, 5 applied, 0 morphology, 0 phonetics, 0 general, 1 psycholinguistics, 1 computational, 2 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 2 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 1 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.9,5
Gallaudet University,5,8,,-0.5,15.50,0.93,1.09,,,
Johns Hopkins University,5,10,,0.2,,,1.17,"""2 syntax, 1 semantics, 2 acquisition, 0 sociolinguistics, 0 applied, 0 morphology, 1 phonetics, 0 general, 1 psycholinguistics, 3 computational, 1 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 3 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.5,
Memorial University of Newfoundland,5,10,,-1,20.30,0.59,0.58,,,
San Diego State University,5,5,,0,,,,"""0 syntax, 4 semantics, 2 acquisition, 3 sociolinguistics, 9 applied, 1 morphology, 0 phonetics, 0 general, 1 psycholinguistics, 3 computational, 4 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.0,23.8
University of British Columbia,5,15,,0.33,23.33,1.16,0.93,,,
University of Calgary,5,9,,-0.5,23.22,0.65,0.61,,,
University of Ottawa,5,10,,0,20.40,1.16,1.32,,,
University of South Carolina,5,15,28,0,22.80,0.57,,,,
University of Texas-Arlington,5,8,,-0.5,16.88,0.57,,,,16.6
University of Toronto,5,26,,0.5,18.67,1.00,0.81,,,
University of Victoria,4,11,,-0.5,25.91,0.72,,,,
York University,4,9,,0.5,27.33,0.68,,,,
University of Louisiana-Lafayette,3,2,,0,,,,,1.0,
Dartmouth,2,,,-0.4,,,,,,12
